Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɪ̃	1.0
ˈɪ	ˈɪ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	ˈɔ̃	1.0
ˈɔ	ˈɔ	1.0
ˈœ	ˈœ	1.0
ˈỹ	ˈỹ	1.0
ˈy	ˈy	1.0
ˈũ	ˈũ	1.0
ˈu	ˈu	1.0
ˈĩ	ˈĩ	1.0
ˈi	ˈi	1.0
ˈẽ	ˈẽ	1.0
ˈe	ˈe	1.0
ˈã	ˈã	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʒ	ʒ	1.0
ʎ	ʎ	1.0
ʃ	ʃ	1.0
ʀ_ˈa	ʀ_ˈa	1.0
ʀ_w	ʀ_w	1.0
ʀ	ʀ	1.0
ɲ	ɲ	1.0
ɪ	ɪ	1.0
ɥ	ɥ	1.0
ɡʲ	ɡʲ	1.0
ɡ	ɡ	1.0
ə	ə	1.0
ɔ	ɔ	1.0
ɒ	ɒ	1.0
œ	œ	1.0
ŋ	ŋ	1.0
z	z	1.0
y	y	1.0
w_ʀ	w_ʀ	1.0
w	w	1.0
vʲ	vʲ	1.0
v	v	1.0
ũ	ũ	1.0
u	u	1.0
t	t	1.0
s	s	1.0
pʲ	pʲ	1.0
p	p	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lː	lː	1.0
l_w	l_w	1.0
l	l	1.0
k	k	1.0
j	j	1.0
ĩ	ĩ	1.0
i	i	1.0
fʲ	fʲ	1.0
f	f	1.0
e	e	1.0
dʲ	dʲ	1.0
d	d	1.0
b	b	1.0
ã	ã	1.0
a	a	1.0
