American English	Afrikaans	probability
b	b	1.0
d	d	0.417
d	t	0.415
d	-	0.159
f	f	0.876
f	χ	0.082
f	v	0.045
h	ɦ	0.973
h	-	0.046
i	ə	0.548
i	ə_χ	0.415
j	j	0.629
j	χ	0.361
k	k	0.798
k	-	0.194
kʰ	k	1.0
l	ɫ	0.728
l	l	0.27
m	m	1.0
n	n	0.9
n	ə_ŋ	0.057
n	-	0.049
oʊ̯	-	1.0
p	p	1.0
pʰ	p	0.514
s	s	0.968
t	t	0.764
t	χ	0.157
t	-	0.069
tʰ	t	0.935
tʰ	b	0.064
v	f	0.441
v	-	0.342
v	v	0.203
w	v	0.771
w	w	0.147
w	ˈɪə̯	0.05
w	-	0.045
z	s	1.0
ð	d	1.0
ð_ɚ	r	0.514
ŋ	ŋ	1.0
ə	ə	0.525
ə	-	0.174
ə	ˈɛ	0.174
ɚ	r	0.517
ɚ	ə	0.423
ɚ	-	0.058
ɡ	χ	1.0
ɡ_ɚ	ə	1.0
ɪ	-	0.514
ɫ	ɫ	0.804
ɫ	l	0.086
ɫ	ˈœu̯	0.058
ɫ	n	0.057
ɫ_d	t	1.0
ɹ	r	0.927
ɹ	-	0.067
ɾ	-	0.514
ʃ	s	0.569
ʃ	s_k	0.404
ʤ	χ	1.0
ʧ	k	1.0
ˈaɪ̯	ˈəɪ̯	0.309
ˈaɪ̯	ˈə	0.227
ˈaɪ̯	ˈʊə̯_χ	0.132
ˈaɪ̯	ˈa	0.104
ˈaɪ̯	ˈi_χ	0.055
ˈaʊ̯	ˈœɪ̯	0.626
ˈaʊ̯	ˈɔ	0.189
ˈaʊ̯	ˈuːi̯	0.097
ˈaʊ̯	ˈʊə̯	0.074
ˈeɪ̯	ˈɑː	0.264
ˈeɪ̯	ˈa_χ	0.155
ˈeɪ̯	ˈa	0.105
ˈeɪ̯	ˈɛ	0.089
ˈeɪ̯	ˈɪə̯	0.089
ˈi	ˈʊə̯	0.251
ˈi	ˈi	0.248
ˈi	ˈɑː	0.195
ˈi	ˈu	0.112
ˈi	ˈɪə̯	0.072
ˈoʊ̯	ˈəɪ̯	0.264
ˈoʊ̯	ˈɪə̯	0.174
ˈoʊ̯	ˈœu̯	0.129
ˈoʊ̯	ˈʊə̯	0.114
ˈoʊ̯	ɫ	0.079
ˈu	ˈa_n	0.274
ˈu	ˈɑː	0.158
ˈu	ˈɔ	0.158
ˈu	ˈɪə̯	0.158
ˈu	ˈi	0.116
ˈæ	ˈa	0.878
ˈæ	ˈɛː	0.102
ˈæ	ˈæː	0.043
ˈɑ	ˈɔ	0.33
ˈɑ	ˈa	0.301
ˈɑ	ˈɑː	0.144
ˈɑ	ˈæː	0.095
ˈɑ	-	0.076
ˈɔ	ˈʊə̯	0.351
ˈɔ	ˈa	0.172
ˈɔ	ˈɔ	0.13
ˈɔ	w	0.096
ˈɔ	ˈɛ	0.096
ˈɛ	ˈʊə̯	0.183
ˈɛ	ˈɑː	0.159
ˈɛ	ˈɪə̯	0.142
ˈɛ	-	0.102
ˈɛ	ˈɛ	0.089
ˈɛ_ð	ˈɪə̯	1.0
ˈɝ	ˈɑː	0.304
ˈɝ	ˈɛ	0.304
ˈɝ	r	0.18
ˈɝ	ˈœ	0.115
ˈɪ	ˈə	0.459
ˈɪ	ˈœ	0.197
ˈɪ	ˈɛ	0.125
ˈɪ	ˈɪə̯	0.086
ˈɪ	ə	0.047
ˈʊ	ˈu	0.517
ˈʊ	ˈɔ	0.45
ˈʌ	ˈɔ	0.41
ˈʌ	ˈu	0.152
ˈʌ	ˈɪø̯	0.152
ˈʌ	ˈa	0.1
ˈʌ	ˈʊə̯	0.065
θ	d	0.659
θ	t	0.248
θ	n_t	0.08
