Faroese	East Low German	probability
a	-	0.548
a	n	0.365
a	m	0.044
a	ɪ	0.031
a	ŋ	0.031
a_ɹ	æ	1.0
b̥	b	0.924
b̥	-	0.076
d̥	d	0.841
d̥	-	0.088
d̥	t	0.069
d̥_ʊ	d	1.0
f	f	0.883
f	-	0.112
h	h	0.986
h	-	0.033
j	-	0.467
j	ˈiː	0.129
j	t	0.129
j	ɾ	0.113
j	ˈɛ	0.068
k	k	0.74
k	-	0.135
k_ʊ	k	1.0
kʰ	kʰ	0.552
kʰ	-	0.44
l	l	0.953
l	-	0.047
l_ʊ	l	1.0
l̥	l	1.0
l̥_ʊ	l	1.0
m	m	0.905
m	-	0.086
m_ʊ	m	1.0
n	n	0.937
n	t	0.037
n	m	0.037
nː	n	0.772
nː	ˈuː	0.129
nː	l	0.091
n̥	n	0.367
n̥	æ	0.18
n̥	-	0.17
n̥	m	0.101
p	p	1.0
r	r	0.49
s	s	0.373
s	z	0.347
s	ʃ	0.244
s	ç	0.033
s_k	ʃ	1.0
t	t	0.658
t	-	0.341
tʰ	d	0.504
tʰ	tʰ	0.493
tː	f	0.49
tː	p	0.058
v	v	0.465
v	f	0.178
v	w	0.124
v	-	0.098
v	x	0.043
v_ʊ	m	0.45
v_ʊ	ç	0.334
w	ɾ	0.327
w	-	0.285
w	t	0.194
w	x	0.112
w	ç	0.062
ŋ	ŋ	0.717
ŋ	n	0.118
ŋ	-	0.085
ŋ	ɪ	0.065
ə	æ	0.49
ɛ	ɪ	0.49
ɡ̊	-	0.504
ɡ̊	ɡ	0.272
ɡ̊	j	0.087
ɡ̊	ŋ	0.068
ɡ̊	k	0.05
ɡ̊_ʊ	k	0.517
ɡ̊_ʊ	ç	0.291
ɪ	-	1.0
ɪ_ɹ	æ	1.0
ɲ	ŋ	0.24
ɹ	-	0.756
ɹ	r	0.156
ɹ	æ	0.062
ɹ_a	æ	1.0
ɹ_ʊ	æ	1.0
ɹː	ç	0.49
ʃ	ʃ	0.93
ʃ	z	0.057
ʈ	t	1.0
ʊ	-	1.0
ʊ_ɹ	æ	1.0
ʊ̯ˈiː	ˈiː	0.49
ʎ	l	1.0
ʤ̊	-	0.602
ʤ̊	ç	0.161
ʤ̊	ɡ	0.106
ʤ̊	d	0.106
ʤ̊	j	0.036
ʧ	ɡ	0.323
ʧ	ç	0.323
ʧʰ	kʰ	0.488
ʧʰ	d	0.488
ʧː	ɣ	1.0
ʰk	k	1.0
ʰkː	k	0.53
ʰkː	ŋ_k	0.298
ʰp	p	1.0
ʰt	t	0.805
ʰt	ɾ	0.155
ʰtː	x	0.591
ʰtː	ç	0.403
ʰʧ	k	0.49
ˈa	ˈa	0.568
ˈa	ˈɒː	0.158
ˈa	ˈɪ	0.084
ˈa	ˈʏ	0.065
ˈa	ˈaʊ̯	0.065
ˈa_ɹ	ˈaː	1.0
ˈai̯	ˈae̯	0.715
ˈai̯	ˈɪ	0.197
ˈaːi̯	ˈae̯	0.74
ˈaːi̯	j	0.135
ˈeə̯	ˈɛː	0.49
ˈeː	ˈɛː	0.389
ˈeː	ˈiː	0.295
ˈeː	ˈa	0.194
ˈeː	ˈɛ	0.085
ˈiː	ˈɪ	0.506
ˈiː	ˈae̯	0.151
ˈiː	ˈœː	0.102
ˈiː	ˈɛ	0.098
ˈoː	ˈuː	0.49
ˈuː	ˈɔ	0.561
ˈuː	ˈɛ	0.197
ˈuː	ˈae̯	0.111
ˈøː	ˈɔʏ̯	0.417
ˈøː	ˈɛ	0.285
ˈøː	ˈɛː	0.163
ˈøː	æ	0.11
ˈœ	ˈɔ	0.28
ˈœ	ˈœ	0.167
ˈœ	ˈa	0.129
ˈœ	æ	0.096
ˈœ	-	0.091
ˈɔ	ˈa	0.34
ˈɔ	ˈuː	0.17
ˈɔ	ˈœː	0.112
ˈɔ	ˈɛː	0.112
ˈɔ	ˈoː	0.085
ˈɔːi̯	ˈuː	0.297
