Scots	West Frisian	probability
b	b	1.0
d	d	0.46
d	-	0.292
d	t	0.243
e	-	0.683
e	j	0.225
f	f	0.969
f	-	0.042
h	h	1.0
i	ə	1.0
j	ˈiə̯	0.403
j	j	0.403
j	ˈɛ	0.153
k	k	0.575
k	k_ə	0.267
k	ʦ	0.096
k	-	0.059
kʰ	k	1.0
l	l	0.946
l	l_j	0.056
l_d	t	1.0
m	m	1.0
n	n	0.955
n	-	0.032
p	p	1.0
pʰ	p	0.501
r	r	0.895
r	-	0.052
r_ˈɛ	ˈɛː	1.0
s	s	0.952
s	ɕ	0.033
s	-	0.033
t	t	1.0
tʰ	t	0.814
tʰ	ʦ	0.158
tʰ	b	0.041
v	v	0.613
v	f	0.222
v	-	0.138
w	ʋ	0.543
w	v	0.356
w	-	0.094
x	χ	1.0
z	z	0.594
z	s	0.392
ç	χ	0.251
ð	-	0.631
ð	d	0.254
ŋ	ŋ	0.898
ŋ	n	0.095
ŋ_ɡ	ŋ	1.0
ə	ə	0.675
ə	-	0.197
ə	ˈoə̯	0.059
ə	ˈa	0.05
əi̯	ɪ	0.435
əi̯	ə_χ	0.33
əi̯	ə	0.165
ɡ	ɡ	0.793
ɡ	ɣ	0.205
ɪ	-	1.0
ɫ	l	1.0
ɹ	r	0.501
ʃ	s_k	1.0
ʍ	v	0.548
ʍ	ʋ	0.196
ʍ	f	0.122
ʧ	ʦ	0.574
ʧ	k	0.287
ˈa	ˈɔ	0.501
ˈaːɪ̯	ˈiː	0.574
ˈaːɪ̯	ˈuː	0.287
ˈe	ˈiə̯	0.264
ˈe	ˈa	0.134
ˈe	ˈɪə̯	0.124
ˈe	ˈaː	0.114
ˈe	ˈɛi̯	0.108
ˈei̯	ˈɪə̯	0.505
ˈei̯	ˈaː	0.099
ˈei̯	ˈiə̯	0.065
ˈei̯	ˈi	0.057
ˈei̯	-	0.055
ˈeː	ˈɛi̯	0.297
ˈeː	ˈa	0.297
ˈeː	ˈaː	0.185
ˈeː	ˈɪ	0.115
ˈi	ˈɪ	0.386
ˈi	ˈa	0.222
ˈi	ˈiə̯	0.222
ˈi	ˈɪə̯	0.138
ˈiː	ˈiə̯	0.231
ˈiː	ˈeː	0.107
ˈiː	ˈɛ_j	0.107
ˈiː	ˈi	0.107
ˈiː	ˈɪ	0.106
ˈoe̯	-	0.251
ˈø	ˈuə̯	0.546
ˈø	ˈoː	0.165
ˈø	ˈoə̯	0.122
ˈø	ˈiː	0.087
ˈɑ	ˈa	0.516
ˈɑ	ˈaː	0.252
ˈɑ	ˈɛi̯	0.074
ˈɑ	ˈɛ	0.074
ˈɑ	ˈɪ	0.06
ˈɑː	ˈɔː	0.552
ˈɑː	ˈiə̯	0.123
ˈɑː	ˈaː	0.123
ˈɑː	ˈa	0.094
ˈɑː	ˈɪə̯	0.069
ˈɔ	ˈɔ	0.528
ˈɔ	ˈoə̯	0.264
ˈɔ	ˈu	0.112
ˈɔ	ˈuə̯	0.089
ˈɔ_r	ˈoə̯	1.0
ˈəi̯	ˈiː	0.428
ˈəi̯	ˈuː	0.191
ˈəi̯	j	0.166
ˈəi̯	ˈi	0.126
ˈəi̯	ˈɛi̯	0.061
ˈɛ	ˈɛ	0.231
ˈɛ	ˈiə̯	0.167
ˈɛ	ˈɪ	0.138
ˈɛ	ˈɪə̯	0.127
ˈɛ	ˈɛi̯	0.084
ˈɛ_r	ˈɛː	0.501
ˈɪ	ˈɪ	0.382
ˈɪ	ˈi	0.098
ˈɪ	ˈa	0.088
ˈɪ	ˈɔ	0.076
ˈɪ	ˈeː	0.069
ˈɪ_ð	ˈuə̯	1.0
ˈʉ	ˈuː	0.517
ˈʉ	ˈoː	0.127
ˈʉ	ˈɔ	0.111
ˈʉ	ˈyː	0.084
ˈʉ	j	0.07
ˈʌ	ˈy	0.335
ˈʌ	ˈɔ	0.254
ˈʌ	ˈyː	0.12
ˈʌ	ˈu	0.12
ˈʌ	ˈɛ	0.116
ˈʌʉ̯	ˈɔu̯	0.297
ˈʌʉ̯	ˈɔ	0.244
ˈʌʉ̯	ˈuə̯	0.122
θ	t	0.562
θ	-	0.135
θ	d	0.089
θ	n	0.085
θ	ʦ	0.057
