American English	North Frisian	probability
b	b	1.0
d	d	0.554
d	-	0.225
d	dʲ	0.167
d	t	0.049
f	f	0.877
f	v	0.047
f	ə_v	0.043
f	k	0.042
h	h	1.0
i	i	1.0
j	j	0.392
j	ɡ	0.392
j	-	0.126
k	k	0.895
k	-	0.105
kʰ	k	1.0
l	l	1.0
m	m	0.95
m	-	0.053
n	n	0.914
n	nʲ	0.054
n	ŋ	0.031
n_d	nʲ	1.0
oʊ̯	j	0.594
oʊ̯	-	0.392
p	p	0.557
p	p_ə	0.276
p	b	0.158
pʰ	p	0.244
s	s	0.977
s	ʃ	0.029
t	t	0.667
t	tʲ	0.181
t	x_t	0.08
t	t_ə	0.047
t	z	0.031
tʰ	t	1.0
v	v_ə	0.419
v	v	0.336
v	-	0.235
w	v	0.814
w	-	0.147
w	ˈuː	0.043
w_ˈʊ	ˈʊ	1.0
z	s	0.594
z	z	0.392
ð	d	1.0
ŋ	ŋ	1.0
ə	ə	1.0
ɚ	ə	0.627
ɚ	r	0.371
ɡ	ɡ	0.877
ɡ	-	0.106
ɡ_ɚ	ə	1.0
ɪ	i	1.0
ɫ	l	0.607
ɫ	ə_l	0.117
ɫ	lʲ	0.108
ɫ	l_ə	0.108
ɫ	j	0.051
ɫ_d	lʲ	1.0
ɹ	r	0.974
ɹ	-	0.032
ɾ	d	1.0
ʃ	ʃ	0.906
ʃ	k	0.088
ʤ	-	0.66
ʤ	w	0.161
ʧ	k	0.457
ʧ	ʃ	0.339
ʧ	s	0.194
ˈaɪ̯	ˈi	0.359
ˈaɪ̯	ˈɒ_x	0.128
ˈaɪ̯	ˈyː	0.112
ˈaɪ̯	ˈiː	0.112
ˈaɪ̯	j	0.083
ˈaʊ̯	ˈyː	0.632
ˈaʊ̯	ˈøː_j	0.202
ˈaʊ̯	ˈuː	0.081
ˈaʊ̯	ˈøː	0.076
ˈeɪ̯	ˈɔː	0.174
ˈeɪ̯	ˈɛi̯	0.133
ˈeɪ̯	ˈeː	0.127
ˈeɪ̯	ˈɒ	0.1
ˈeɪ̯	nʲ	0.1
ˈi	ˈiː	0.399
ˈi	ˈɛi̯	0.182
ˈi	ˈuː	0.124
ˈi	ˈeː	0.121
ˈi	ˈiː_ə	0.059
ˈoʊ̯	ˈiː	0.384
ˈoʊ̯	ˈyː	0.152
ˈoʊ̯	ˈœ	0.082
ˈoʊ̯	ˈai̯	0.076
ˈoʊ̯	ˈɒ	0.076
ˈu	ˈɔu̯	0.214
ˈu	ˈɛi̯	0.18
ˈu	ˈuː	0.127
ˈu	ˈɛː	0.123
ˈu	ˈœ	0.123
ˈæ	ˈœ	0.312
ˈæ	ˈɒː	0.242
ˈæ	ˈeː	0.125
ˈæ	ˈɔː	0.074
ˈæ	ˈuː	0.074
ˈɑ	ˈɔː	0.21
ˈɑ	ˈɒ	0.189
ˈɑ	ˈeː	0.165
ˈɑ	ˈɒː	0.095
ˈɑ	ˈiː	0.095
ˈɔ	ˈɔ	0.636
ˈɔ	ˈuː	0.124
ˈɔ	ˈɔu̯	0.093
ˈɔ	j	0.087
ˈɔ	ˈʊ	0.049
ˈɛ	ˈyː	0.241
ˈɛ	ˈɛː	0.167
ˈɛ	ˈɒː	0.119
ˈɛ	ˈɔː	0.096
ˈɛ	ˈøː	0.058
ˈɝ	ˈœ_r	0.318
ˈɝ	r	0.183
ˈɝ	ˈa	0.14
ˈɪ	ˈi	0.251
ˈɪ	ˈʊ	0.171
ˈɪ	ˈa	0.132
ˈɪ	ˈʏ	0.096
ˈɪ	ˈai̯	0.073
ˈʊ	ˈʊ	0.392
ˈʊ	ˈœ	0.366
ˈʌ	ˈʊ	0.359
ˈʌ	ˈɔu̯	0.217
ˈʌ	ˈœ	0.137
ˈʌ	ˈɒ	0.078
ˈʌ	ˈa	0.078
θ	t	0.437
θ	s	0.217
θ	d	0.2
θ	tʲ	0.068
θ	z	0.068
