West Frisian	American English	probability
b	b	0.95
b	-	0.053
d	d	0.812
d	ð	0.087
d	θ	0.087
f	f	0.917
f	v	0.046
f	-	0.041
h	h	1.0
j	-	0.68
j	j	0.096
j	ˈɝ	0.06
j	ˈi	0.06
j	oʊ̯	0.059
j_ˈɔ	ˈaɪ̯	1.0
j_ˈɪ	ˈi	1.0
k	k	0.503
k	kʰ	0.236
k	-	0.152
k	ʧ	0.085
k_ə	ʧ	0.561
k_ə	k	0.425
l	l	0.547
l	ɫ	0.374
l	-	0.071
l_ə	ɫ	1.0
m	m	1.0
n	n	0.756
n	-	0.14
n	ɹ_n	0.045
n	θ	0.042
p	p	0.871
p	pʰ	0.128
p_ə	p	1.0
r	ɹ	0.544
r	ɚ	0.24
r	ð_ɚ	0.106
r	-	0.07
r	ɡ_ɚ	0.039
r_ə	ɚ	0.49
s	s	0.947
s	z	0.051
s_k	ʃ	1.0
t	t	0.406
t	d	0.198
t	θ	0.133
t	tʰ	0.123
t	ɫ_d	0.059
t_ə	t	1.0
v	w	0.587
v	v	0.302
v	-	0.096
z	-	0.644
z	z	0.155
ŋ	ŋ	0.793
ŋ	n	0.11
ŋ	-	0.087
ɕ	s	1.0
ə	-	0.818
ə	ɾ	0.044
ə	ə	0.044
ə	ɚ	0.033
ə	ɪ	0.033
ə_l	ɫ	1.0
ə_r	ɚ	1.0
ə_χ	i	1.0
ɡ	ɡ	0.925
ɡ	j	0.068
ɣ	-	1.0
ɣ_ə	ʤ	1.0
ɪ	i	0.644
ɪ	-	0.239
ʋ	w	1.0
ʦ	ʧ	0.574
ʦ	tʰ	0.281
ʦ_j	θ	0.594
ʦ_j	ʧ	0.392
ˈa	ˈeɪ̯	0.275
ˈa	ˈæ	0.181
ˈa	ˈɛ	0.134
ˈa	ˈɑ	0.117
ˈa	ˈaɪ̯	0.102
ˈaː	ˈɛ	0.318
ˈaː	ˈæ	0.155
ˈaː	ˈeɪ̯	0.155
ˈaː	ˈi	0.102
ˈaː	ˈɑ	0.102
ˈeː	ˈɪ	0.431
ˈeː	ˈi	0.326
ˈeː	ˈaɪ̯	0.173
ˈi	ˈɪ	0.433
ˈi	ˈi	0.23
ˈi	ˈaɪ̯	0.224
ˈi	ˈɑ	0.067
ˈiə̯	ˈi	0.468
ˈiə̯	ˈoʊ̯	0.185
ˈiə̯	ˈɛ	0.137
ˈiə̯	ˈɪ	0.067
ˈiə̯	ˈɝ	0.058
ˈiː	ˈaɪ̯	0.701
ˈiː	ˈoʊ̯	0.107
ˈiː	ˈi	0.107
ˈiː	ˈu	0.081
ˈoə̯	ˈɔ	0.443
ˈoə̯	ˈʌ	0.196
ˈoə̯	ˈoʊ̯	0.17
ˈoə̯	ɹ	0.112
ˈoə̯	ˈu	0.063
ˈoː	ˈaʊ̯	0.363
ˈoː	ˈu	0.275
ˈu	ˈʌ	0.644
ˈu	ˈaʊ̯	0.239
ˈuə̯	ˈʌ	0.42
ˈuə̯	ˈʊ	0.304
ˈuə̯	ˈu	0.265
ˈuə̯_r	ɚ	1.0
ˈuː	ˈaʊ̯	0.457
ˈuː	ˈaɪ̯	0.36
ˈuː	ˈʌ	0.074
ˈuː	ˈeɪ̯	0.074
ˈy	ˈʌ	1.0
ˈyː	ˈaʊ̯	0.281
ˈyː	ˈʌ	0.281
ˈø	ˈɪ	0.425
ˈø	ˈɔ	0.239
ˈø	ˈi	0.135
ˈøə̯	ˈɛ	1.0
ˈɔ	ˈɑ	0.238
ˈɔ	ˈɪ	0.224
ˈɔ	ˈʌ	0.207
ˈɔ	ˈʊ	0.145
ˈɔ	w	0.088
ˈɔu̯	ˈoʊ̯	0.371
ˈɔu̯	ˈɔ	0.089
ˈɔː	ˈæ	0.422
ˈɔː	ˈoʊ̯	0.211
ˈɔː	ˈɛ	0.179
ˈɔː	ɫ	0.085
ˈɛ	ˈi	0.289
ˈɛ	ˈɑ	0.289
ˈɛ	ˈɝ	0.105
ˈɛ	ˈɔ	0.105
ˈɛ	ˈu	0.105
ˈɛi̯	ˈeɪ̯	0.52
ˈɛi̯	ˈoʊ̯	0.168
ˈɛi̯	ˈɛ	0.168
ˈɛi̯	ˈɪ	0.117
ˈɛː	ˈæ	0.364
ˈɛː	ˈɪ	0.209
ˈɛː	ˈeɪ̯	0.209
ˈɛː	ˈɑ	0.091
ˈɛː	ˈɛ	0.062
ˈɪ	ˈɪ	0.612
ˈɪ	ˈɛ	0.121
ˈɪ	-	0.076
ˈɪ	ˈoʊ̯	0.061
ˈɪ	ˈæ	0.052
ˈɪ_χ	ˈaɪ̯	1.0
ˈɪə̯	ˈi	0.368
ˈɪə̯	ˈɛ	0.322
ˈɪə̯	ˈaɪ̯	0.118
ˈɪə̯	ˈeɪ̯	0.068
ˈɪə̯	ˈoʊ̯	0.059
ˈɵ	ˈi	0.24
χ	-	0.702
χ	f	0.17
χ	ʤ	0.11
χ_t	t	1.0
