Northern Low Saxon	Pennsylvania German	probability
b	b	0.723
b	f	0.201
b	p	0.07
b_m	f	1.0
d	t	0.384
d	d	0.369
d	s	0.183
d	ʦ	0.038
d	-	0.031
f	f	0.868
f	p	0.129
h	h	1.0
i	ɪ	0.494
j	ɡ	0.244
k	k	1.0
kʰ	kʰ	0.874
kʰ	ɡ	0.124
l	l	0.96
l	d	0.038
m	m	0.829
m	v_ə	0.126
m	-	0.043
n	n	0.651
n	ə	0.253
n	-	0.092
p	p	0.5
p	f	0.5
r	ɾ	0.954
r	ˈɛː	0.046
s	s	0.563
s	ʃ	0.326
s	k_s	0.107
t	t	0.73
t	ç	0.096
t	d	0.087
t	s	0.065
tʰ	ʦ	0.905
tʰ	d	0.079
v	ʋ	0.926
v	v	0.07
x	x	0.659
x	k	0.32
z	s	1.0
ç	ç	0.408
ç	k	0.232
ç	-	0.172
ç	ç_t	0.172
ŋ	ŋ	0.866
ŋ	ɣ	0.075
ŋ	ə	0.059
ɐ	ɑ	0.912
ɐ	ɾ	0.051
ɐ	ə	0.043
ə	ɑ	0.494
ɡ	ɡ	0.353
ɡ	k	0.196
ɡ	ç	0.185
ɡ	x	0.137
ɡ	ɣ	0.068
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʒ	j	1.0
ˈa	ˈa	0.736
ˈa	ˈaː	0.087
ˈa	ˈɔː	0.086
ˈa	ˈɛ	0.051
ˈa	ˈɛː	0.043
ˈaɪ̯	ˈiː	0.457
ˈaɪ̯	ˈeː	0.323
ˈaɪ̯	ˈɛ	0.085
ˈaɪ̯	ˈaɪ̯	0.068
ˈaɪ̯	ˈɔɪ̯	0.055
ˈaɪ̯_n	ˈeː	1.0
ˈaʊ̯	ˈoː	0.336
ˈaʊ̯	ˈuː	0.295
ˈaʊ̯	ˈa	0.108
ˈaʊ̯	ˈɔː	0.108
ˈaʊ̯	ˈʊ	0.092
ˈaʊ̯_ɐ	ˈa	0.594
ˈaʊ̯_ɐ	ˈaː	0.392
ˈaː	ˈaː	0.324
ˈaː	ˈɛː_ɾ	0.282
ˈaː	ˈɔː	0.214
ˈaː	ˈa	0.132
ˈeɪ̯	ˈeː	0.548
ˈeɪ̯	ˈiː	0.194
ˈeɪ̯	j	0.119
ˈeː	ˈɛ	0.249
ˈeː	ˈeː	0.217
ˈeː	ˈaɪ̯	0.143
ˈeː	ˈɪ	0.143
ˈeː	ˈɔː	0.104
ˈiː	ˈaɪ̯	0.851
ˈiː	ˈɪ	0.141
ˈoː	ˈoː	0.323
ˈoː	ˈɔː	0.314
ˈoː	ˈa	0.23
ˈoː	ˈɛː	0.07
ˈoː	ˈɔ	0.051
ˈuː	ˈaʊ̯	0.591
ˈuː	ˈuː	0.194
ˈuː	ˈɔː	0.111
ˈuː	ˈaɪ̯	0.085
ˈyː	ˈaɪ̯	0.494
ˈø	ˈɪ	0.284
ˈø	ˈɛ	0.284
ˈøː	ˈɪ	0.339
ˈøː	ˈoː	0.257
ˈøː	ˈaʊ̯	0.158
ˈøː	ˈɔː	0.158
ˈœ	ˈɛ	1.0
ˈœː	ˈɛ	1.0
ˈɔ	ˈɔ	0.544
ˈɔ	ˈʊ	0.213
ˈɔ	ˈaː	0.114
ˈɔ	ˈa	0.081
ˈɔʏ̯	ˈeː	0.376
ˈɔʏ̯	ˈiː	0.218
ˈɔʏ̯	ɑ	0.136
ˈɔʏ̯	ˈɔː	0.102
ˈɔʏ̯	ˈʊ	0.066
ˈɔː	ˈaː	0.244
ˈɛ	ˈɛ	0.43
ˈɛ	ˈɔː	0.123
ˈɛ	ˈeː	0.119
ˈɛ	ˈa	0.115
ˈɛ	ˈɪ	0.115
ˈɛɪ̯	ˈeː	0.256
ˈɛɪ̯	ˈɛː	0.192
ˈɪ	ˈɪ	0.67
ˈɪ	ˈaɪ̯	0.124
ˈɪ	ˈa	0.078
ˈɪ	ˈeː	0.069
ˈɪ	ˈɛ	0.046
ˈʊ	ˈʊ	0.599
ˈʊ	ˈɔ	0.326
ˈʊ	ˈaʊ̯	0.07
ˈʏ	ˈɪ	0.464
ˈʏ	ˈʊ	0.26
ˈʏ	ˈaɪ̯	0.149
ˈʏ	ʋ	0.102
