Afrikaans	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.455
d	tʰ	0.296
d	-	0.205
d	ç	0.042
f	f	0.659
f	ʋ	0.276
f	-	0.053
j	-	0.316
j	ˈʊ	0.316
k	kʰ	0.271
k	k	0.27
k	ç	0.179
k	-	0.09
k	ʰkː_ɑ	0.09
l	l	1.0
m	m	0.893
m	m_j	0.071
m	mː	0.039
n	n	0.691
n	-	0.158
n	nː	0.117
n	ŋ	0.03
n_t	nː	1.0
p	p	0.779
p	pʰ	0.14
p	-	0.068
r	ɾ	0.89
r	-	0.085
r_t	ɾ	1.0
r_ə	ɾ	0.479
s	s	0.822
s	ʃ	0.127
s	-	0.039
s	sː	0.025
t	t	0.419
t	-	0.232
t	tʰ	0.131
t	d	0.114
t	ç	0.036
v	ʋ	0.506
v	kʰ	0.191
v	-	0.176
v	f	0.075
v	v	0.047
v_ˈɔ	ˈʉ	1.0
v_ˈɛ	ˈʏ	1.0
w	ʋ	0.351
w	ˈøː	0.135
w	ˈuː	0.135
w	ˈɔ	0.135
w	-	0.089
ŋ	ŋː	0.689
ŋ	-	0.303
ə	e	0.548
ə	-	0.282
ə	ɑ	0.096
ə	ɛ	0.051
ə_r	ɾ	1.0
ə_ŋ	n	1.0
ɦ	h	0.935
ɦ	-	0.064
ɫ	l	0.755
ɫ	lː	0.105
ɫ	-	0.066
ɫ	ɡ_l	0.057
ˈa	ˈɑ	0.566
ˈa	ˈɑː	0.097
ˈa	ˈɛ	0.085
ˈa	ˈɔ	0.072
ˈa	ʋ_ˈɑː	0.063
ˈi	ˈyː	0.285
ˈi	ˈʉː	0.199
ˈi	ˈeː	0.136
ˈi	ˈoː	0.125
ˈi	ˈiː	0.109
ˈoːi̯	ˈæʉ̯	1.0
ˈu	ˈuː	0.672
ˈu	ˈøː	0.319
ˈuː	ˈuː	1.0
ˈuːi̯	ˈʉː	1.0
ˈyː	ˈyː	0.441
ˈyː	ˈɛ	0.088
ˈæ	ˈɑ	0.316
ˈæ	ˈeː	0.316
ˈæː	ˈæ	0.316
ˈæː	ˈɛ	0.316
ˈœ	ˈʏ	0.758
ˈœ	ˈɔ	0.177
ˈœi̯	ˈiː	0.229
ˈœu̯	ˈɑ	0.608
ˈœu̯	ˈʉ	0.254
ˈœɪ̯	ˈʉː	0.784
ˈœɪ̯	ˈʏ	0.118
ˈœɪ̯	ˈyː	0.054
ˈɑː	ˈoː	0.442
ˈɑː	ˈɑː	0.296
ˈɑː	ˈɑ	0.109
ˈɑː	-	0.059
ˈɑː	ˈɛː	0.046
ˈɔ	ˈʉ	0.318
ˈɔ	ˈɔ	0.154
ˈɔ	ˈʊ	0.143
ˈɔ	ˈuː	0.084
ˈɔ	-	0.074
ˈɔː	-	0.174
ˈɔː	ˈɑ	0.174
ˈə	ˈɪ	0.693
ˈə	ˈiː	0.226
ˈə	ˈɛ	0.053
ˈə	ˈeː	0.031
ˈəɪ̯	ˈiː	0.37
ˈəɪ̯	ˈæɪ̯	0.308
ˈəɪ̯	ˈɛ	0.09
ˈəɪ̯	ə	0.083
ˈəɪ̯	ˈeː	0.058
ˈɛ	ˈɛ	0.548
ˈɛ	ˈʏ	0.141
ˈɛ	ˈøː	0.096
ˈɛ	ˈeː	0.096
ˈɛ	ˈœ	0.07
ˈɛː	ˈɑː	0.316
ˈɛː	ˈæɪ̯	0.316
ˈɪ	ˈʉː	0.229
ˈɪø̯	ˈɑː	0.66
ˈɪø̯	ˈɔ	0.151
ˈɪə̯	ˈeː	0.214
ˈɪə̯	ˈiː	0.135
ˈɪə̯	ˈæɪ̯	0.135
ˈɪə̯	ˈøː	0.1
ˈɪə̯	ˈʉː	0.087
ˈʊə̯	ˈæʉ̯	0.263
ˈʊə̯	ˈœʏ̯	0.185
ˈʊə̯	ˈʊ	0.181
ˈʊə̯	ˈoː	0.09
ˈʊə̯	ˈuː	0.083
χ	ɡ	0.456
χ	-	0.133
χ	ʰtː	0.088
χ	ɡ_ɑ	0.086
χ	ɡː	0.085
χ_t	ʰtː	0.479
