Nuorese	Nuorese	probability
β	β	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈe	ˈe	1.0
ˈa_ɛ	ˈa_ɛ	1.0
ˈa_s	ˈa_s	1.0
ˈa_k	ˈa_k	1.0
ˈa	ˈa	1.0
ʦ	ʦ	1.0
ʣ	ʣ	1.0
ɾ_ˈɔ	ɾ_ˈɔ	1.0
ɾ_ˈi	ɾ_ˈi	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	ɾ_u	1.0
ɾ_t	ɾ_t	1.0
ɾ_m	ɾ_m	1.0
ɾ_i	ɾ_i	1.0
ɾ_b	ɾ_b	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ɛ̆	ɛ̆	1.0
ɛ_ɾ	ɛ_ɾ	1.0
ɛ_n	ɛ_n	1.0
ɛ	ɛ	1.0
ɖː	ɖː	1.0
ɔ̆	ɔ̆	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
ŭ	ŭ	1.0
u_l	u_l	1.0
u	u	1.0
t_ɾ	t_ɾ	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p_ɛ	p_ɛ	1.0
p_u	p_u	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n	n	1.0
m_u	m_u	1.0
m	m	1.0
l	l	1.0
k_ɛ	k_ɛ	1.0
k	k	1.0
j	j	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
ă	ă	1.0
a_ɾ	a_ɾ	1.0
a_t	a_t	1.0
a_n	a_n	1.0
a	a	1.0
<#_ɾ	<#_ɾ	1.0
