West Frisian	Proto-Germanic	probability
b	b	0.957
b	-	0.047
d	d	0.541
d	θ	0.265
d	ð	0.184
f	ɸ	0.849
f	xʷ	0.06
f	β_ɑ̃	0.06
f	z	0.035
h	x	0.941
h	-	0.059
j	j	0.322
j	-	0.236
j	ˈe	0.113
j	ˈeu̯	0.077
j	ˈɑu̯	0.051
j_ˈɔ	ˈeu̯	0.683
j_ˈɔ	ˈe	0.222
k	k	0.751
k	k_i	0.124
k	k_s	0.057
k	kʷ	0.038
k	x	0.033
l	l	0.667
l	l_ɑ	0.114
l	l_u	0.071
l	lː_ɑ	0.038
l	l_i	0.033
m	m	0.762
m	m_ɑ	0.204
m	mː	0.04
n	n	0.766
n	nː	0.061
n	-	0.061
n	m	0.044
n	n_θ	0.033
p	p	0.958
p	ɸ	0.048
r	r	0.663
r	z	0.127
r	r_ɑ̃	0.056
r	ɔːː	0.044
r	r_ɔː	0.041
r_j	r	1.0
s	s	0.864
s	s_ɑ̃	0.05
s	n_s	0.038
t	t	0.352
t	t_ɑ	0.12
t	θ	0.093
t	ð_ɑ̃	0.08
t	θ_ɑ̃	0.051
v	w	0.591
v	β	0.193
v	xʷ	0.132
v	-	0.057
z	s	0.776
z	ɣ	0.172
ŋ	ŋ	0.663
ŋ	ɑ̃	0.087
ŋ	ɡʷ	0.076
ŋ	n_x	0.062
ŋ	n	0.062
ɕ	s	1.0
ə	ɑ_n	0.285
ə	ɑ	0.112
ə	ɔː	0.105
ə	-	0.094
ə	ɑ̃	0.069
ɡ	ɣ	1.0
ɣ	ɣ	0.85
ɣ	-	0.127
ɪ	ɑ	0.803
ɪ	i	0.119
ʋ	w	0.967
ʋ	xʷ	0.044
ʦ	θ	0.561
ʦ	t	0.425
ˈa	ˈɑ	0.91
ˈa	ˈi	0.063
ˈa	ɑ	0.04
ˈaː	ˈɑ	0.565
ˈaː	ˈɛː	0.09
ˈaː	ˈe	0.09
ˈaː	u	0.09
ˈaː	ˈɑi̯	0.09
ˈeː	ˈɑu̯	0.339
ˈeː	ˈɑi̯	0.175
ˈeː	ˈi	0.158
ˈeː	ˈu	0.097
ˈeː	ˈe	0.063
ˈi	ˈi	0.441
ˈi	ˈiː	0.426
ˈi	ˈe	0.052
ˈi	ˈɑi̯	0.052
ˈiə̯	ˈe	0.201
ˈiə̯	ˈɛː	0.194
ˈiə̯	ˈeu̯	0.181
ˈiə̯	ˈɑi̯	0.167
ˈiə̯	ˈɔː	0.082
ˈiː	ˈiː	0.546
ˈiː	ˈi	0.23
ˈiː	ˈɑi̯	0.132
ˈiː	ˈɑ	0.07
ˈoə̯	ˈu_r	0.279
ˈoə̯	ˈu	0.17
ˈoə̯	ˈɛː	0.112
ˈoə̯	r_ˈu	0.112
ˈoə̯	ˈeu̯	0.112
ˈoː	ˈuː	0.784
ˈoː	ˈɔː	0.126
ˈu	ˈu	1.0
ˈuə̯	ˈɔː	0.704
ˈuə̯	e	0.105
ˈuə̯	ɑ	0.082
ˈuə̯	ˈɑ	0.08
ˈuə̯	w	0.036
ˈuː	ˈuː	0.425
ˈuː	ˈu	0.316
ˈuː	ˈɑu̯	0.121
ˈuː	u	0.07
ˈuː	ˈiː	0.058
ˈy	ˈu	0.734
ˈy	ˈɑi̯	0.192
ˈyː	ˈiu̯	0.392
ˈyː	ˈuː	0.222
ˈyː	ˈu	0.222
ˈø	ˈe	0.337
ˈø	ˈɛː	0.222
ˈøə̯	j	1.0
ˈɔ	ˈu	0.733
ˈɔ	ˈe	0.106
ˈɔ	w	0.076
ˈɔ	ŋ	0.07
ˈɔu̯	w	0.283
ˈɔu̯	ˈu	0.283
ˈɔː	ˈɑ_l	0.433
ˈɔː	ˈɑ	0.4
ˈɔː	ˈe	0.157
ˈɛ	ˈɑ	0.359
ˈɛ	ˈi	0.278
ˈɛ	ˈe	0.152
ˈɛ	ˈiu̯	0.101
ˈɛ	ˈɑu̯	0.06
ˈɛi̯	ˈe_ɣ	0.323
ˈɛi̯	ɑ	0.131
ˈɛi̯	ˈɑ_ɣ	0.114
ˈɛi̯	ɑi̯	0.114
ˈɛi̯	ˈɑi̯	0.114
ˈɛː	ˈɑ	0.492
ˈɛː	ˈɑi̯	0.193
ˈɛː	ˈe	0.131
ˈɛː	ˈu	0.131
ˈɪ	ˈi	0.322
ˈɪ	ˈɑ	0.194
ˈɪ	ˈu	0.16
ˈɪ	-	0.089
ˈɪ	ˈe	0.069
ˈɪə̯	ˈɑu̯	0.535
ˈɪə̯	ˈɑ	0.201
ˈɪə̯	ˈe	0.127
ˈɪə̯	ɑ	0.052
ˈɪə̯	ˈeu̯	0.05
ˈɵ	ˈɔː	0.243
χ	x	0.394
χ	z	0.364
χ	ɣ	0.125
χ	ɡ	0.056
χ	i_z	0.049
