Faroese	Ripuarian	probability
a	ə	0.509
a	-	0.423
a	d_ə	0.064
b̥	b	0.934
b̥	-	0.065
d̥	d	0.705
d̥	k	0.139
d̥	t	0.092
d̥	ʦ	0.054
d̥_ʊ	k	0.488
f	f	0.818
f	-	0.099
f	ʃ	0.065
f	v	0.033
h	h	0.949
h	k	0.053
j	-	0.298
j	ˈɛː	0.231
j	ˈɪ	0.126
j	ˈɛ	0.11
j	ɣ	0.083
j_ʊ	t	1.0
k	ɕ	0.61
k	k	0.334
k	x	0.04
kʰ	k	0.7
kʰ	-	0.283
l	l	0.909
l	ə_l	0.088
l_ʊ	l	1.0
l̥	l	1.0
m	m	0.943
m	-	0.058
m_ʊ	m	1.0
n	n	0.773
n	ŋ	0.185
n	-	0.042
nː	n	0.562
nː	ŋ	0.239
nː	l	0.113
nː	-	0.053
n̥	n	0.708
n̥	-	0.173
n̥	ə	0.043
p	f	0.675
p	p	0.304
r	ʀ	0.238
s	z	0.434
s	s	0.255
s	ʃ	0.244
s	-	0.036
s	ɕ	0.035
s_k	ʃ	1.0
sː	s	0.238
t	-	0.397
t	t	0.268
t	s	0.258
t	ʦ	0.07
tʰ	d	0.611
tʰ	ʦ	0.377
tː	p	1.0
v	ʋ	0.467
v	v	0.167
v	-	0.15
v	f	0.095
v	d	0.047
v_ʊ	f	0.646
v_ʊ	ɕ	0.233
w	-	0.506
w	t	0.272
w	ɕ	0.098
w	x	0.098
ŋ	ŋ	0.738
ŋ	n	0.149
ŋ	ɕ	0.1
ə	ɐ	0.488
ɛ	ə	0.488
ɡ̊	-	0.639
ɡ̊	j	0.29
ɡ̊	ɣ	0.045
ɡ̊	k	0.038
ɡ̊_ʊ	k	1.0
ɪ	-	0.773
ɪ	ə	0.224
ɪ_ɹ	ɐ	1.0
ɲ	ŋ	1.0
ɹ	-	0.673
ɹ	ʀ	0.17
ɹ	ɐ	0.118
ɹ	d_ɐ	0.037
ɹ_a	ɐ	1.0
ɹ_ʊ	ɐ	0.561
ɹ_ʊ	ˈyː	0.274
ɹː	ɕ	1.0
ʃ	ʃ	0.594
ʃ	m	0.196
ʃ	z	0.196
ʈ	ʦ	1.0
ʊ	-	0.967
ʊ	ɪ	0.033
ʊ_ɹ	ɐ	1.0
ʊ̯ˈiː	ˈɛ	0.116
ʎ	l	1.0
ʤ̊	-	0.463
ʤ̊	ɣ	0.108
ʤ̊	n	0.105
ʤ̊	d	0.098
ʤ̊	j	0.085
ʧ	ɕ	1.0
ʧʰ	d	0.667
ʧʰ	k	0.333
ʧː	ŋ	0.116
ʰkː	ŋ_k	0.629
ʰkː	k	0.361
ʰp	p	0.488
ʰt	s	0.561
ʰt	t	0.425
ʰtː	x	1.0
ʰtː_ʊ	ɕ	1.0
ʰʧ	k	0.238
ˈa	ˈa	0.512
ˈa	ˈɛː	0.217
ˈa	ˈɛ	0.079
ˈa	-	0.063
ˈa	ˈœ	0.051
ˈai̯	ˈeː	0.733
ˈai̯	ˈɛ	0.185
ˈaːi̯	ˈeː	0.488
ˈeə̯	ˈɛ	0.488
ˈeː	ˈɛ	0.206
ˈeː	ˈɛː	0.179
ˈeː	ˈɪ_ɕ	0.162
ˈeː	ˈa	0.118
ˈeː	ˈeː	0.118
ˈiː	ˈe	0.364
ˈiː	ˈɛ	0.335
ˈiː	ˈaː	0.193
ˈiː	ˈʏ	0.079
ˈoː	ˈoː	0.488
ˈuː	ˈɔ	0.297
ˈuː	ˈɛː	0.18
ˈuː	ˈu	0.18
ˈuː	ˈeː	0.18
ˈøː	ˈøː	0.514
ˈøː	-	0.324
ˈøː	ˈaː	0.097
ˈøː_ɹ	ˈɛː	1.0
ˈœ	ˈɔ	0.24
ˈœ	-	0.235
ˈœ	ˈɛ	0.135
ˈœ	ˈaʊ̯	0.117
ˈœ	ɐ	0.087
ˈɔ	ˈa	0.248
ˈɔ	ˈaː	0.21
ˈɔ	ˈɔ	0.179
ˈɔ	ˈʊ	0.12
ˈɔ	ˈʏ	0.103
ˈɔːi̯	ˈøː	0.274
ˈɔːi̯	ˈuː	0.238
ˈɔːi̯	ˈyː	0.133
ˈɔːu̯	ˈoː	0.624
ˈɔːu̯	ˈeː	0.353
ˈɔːu̯	ˈiː	0.035
ˈɔ̯aː	ˈoː	0.6
ˈɔ̯aː	ˈɔ	0.125
ˈɔ̯aː	ˈiː	0.125
ˈɔ̯aː	ˈøː	0.09
ˈɔ̯aː	ˈuː	0.049
ˈɛ	ˈe	0.229
ˈɛ	ˈɛ	0.125
ˈɛ	ˈa	0.115
ˈɛ	ˈiː	0.115
ˈɛ	ˈeː	0.115
ˈɛːa̯	ˈaː	0.365
ˈɛːa̯	ˈeː	0.181
ˈɛːa̯	ˈa_t	0.119
ˈɛːa̯	ˈɛː	0.104
ˈɛːa̯	ˈa	0.086
ˈɛːa̯_v	ˈa	1.0
ˈɛːi̯	ˈuː	0.37
ˈɛːi̯	ˈoː	0.252
ˈɛːi̯	ˈaʊ̯	0.22
ˈɛːi̯	ˈeː	0.145
ˈɪ	ˈɪ	0.192
ˈɪ	ˈœ	0.124
ˈɪ	ˈe	0.124
