East Low German	Standard German	probability
ˈɪ_t	ˈaɪ̯_s	1.0
ˈœː	ˈyː	1.0
ˈyː	ˈɔʏ̯	1.0
ˈoː	ˈaː	1.0
ˈeː	ˈeː	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ	1.0
z	z	1.0
w	v	1.0
v	v	1.0
tʰ	ʦ	1.0
t_n	s_n	1.0
r	ʁ	1.0
n	n	1.0
l	l	1.0
kʰ	kʰ	1.0
h	h	1.0
d_n	t_n	1.0
b	b	1.0
ˈɪ	ˈɪ	0.917
ˈa	ˈa	0.885
æ	ɐ	0.884
m	m	0.818
f	f	0.818
p	f	0.8
ˈuː	ˈaʊ̯	0.765
ˈʏ	ˈʏ	0.75
x	x	0.75
s	s	0.706
ˈʊ	ˈʊ	0.692
ˈiː	ˈaɪ̯	0.688
ˈɔʏ̯	ˈyː	0.667
ɾ	t	0.667
j	ɡ	0.667
t	t	0.646
ŋ	ŋ	0.643
ˈɛː	ˈɛ	0.6
ˈɔ	ˈɔ	0.6
ˈɒː	ˈaː	0.562
ˈae̯	ˈaɪ̯	0.56
ç	ç	0.533
ˈɛ	ˈɛ	0.5
ˈaʊ̯	ˈuː	0.5
ˈaː	ˈa_ɐ	0.429
ˈɛː	ˈaː	0.4
k	k	0.389
ŋ	ɡ_n	0.357
ˈɔʏ̯	ˈuː	0.333
ɾ	d	0.333
k	ç	0.333
j	j	0.333
ˈae̯	ˈiː	0.32
d	tʰ	0.319
d	d̥	0.319
d	d	0.319
ˈʊ	ˈɔ	0.308
ˈaʊ̯	ˈoː	0.3
ˈaː	ˈɛ_ɐ	0.286
ˈaː	ˈaː	0.286
ç	k	0.267
ˈʏ	ˈɛ	0.25
ˈɒː	ˈoː	0.25
x	ɡ̊	0.25
ˈuː	ˈɔ	0.235
ˈɛ	ˈeː	0.214
ˈɔ	ˈʊ	0.2
ˈɔ	ˈa	0.2
ˈaʊ̯	ˈaʊ̯	0.2
ç	ɡ̊	0.2
p	p͡f	0.2
ˈɒː	ˈa	0.188
ˈiː	ˈiː	0.188
t	s	0.188
f	b̥	0.182
s	z_ə	0.176
k	x	0.167
ˈɛ	ˈɪ	0.143
ˈɛ	ˈaː	0.143
ˈiː	ˈiː_ɐ	0.125
t	ʦ	0.125
m	n	0.121
ˈae̯	ˈeː	0.12
s	k_s	0.118
ˈa	ˈaː	0.115
k	x_ə	0.111
ˈɪ	ˈaɪ̯	0.083
æ	ʁ_ə	0.07
m	b_n	0.061
