West Frisian	English	probability
b	b	0.95
b	-	0.053
d	d	0.812
d	ð	0.087
d	θ	0.087
f	f	0.935
f	v	0.047
f	-	0.033
h	h	1.0
j	-	0.628
j	j	0.091
j	ˈuː	0.069
j	ˈɪ	0.058
j	ˈɜː	0.057
j_ˈɔ	ˈaɪ̯	1.0
j_ˈɛ	ˈiː	0.489
k	k	0.532
k	kʰ	0.21
k	-	0.156
k	ʧ	0.076
k_ə	ʧ	1.0
l	l	0.584
l	ɫ	0.338
l	-	0.072
l_ə	ɫ	1.0
m	m	1.0
n	n	0.804
n	-	0.133
n	θ	0.043
p	p	0.896
p	pʰ	0.104
r	ɹ	0.438
r	-	0.321
r	ə	0.133
r	ð	0.094
r_m	m	1.0
s	s	0.947
s	z	0.051
s_k	ʃ	1.0
t	t	0.515
t	d	0.186
t	θ	0.125
t	tʰ	0.111
t	ɫ_d	0.056
v	w	0.571
v	v	0.336
v	-	0.083
z	-	0.644
z	z	0.154
ŋ	ŋ	0.649
ŋ	ŋ_ɡ	0.12
ŋ	n	0.11
ŋ	-	0.087
ɕ	s	1.0
ə	-	0.73
ə	ə	0.254
ə_l	ɫ	1.0
ə_χ	ɪ	1.0
ɡ	ɡ	1.0
ɣ	-	0.558
ɣ	ʤ	0.437
ɪ	ɪ	0.644
ɪ	-	0.239
ʋ	w	1.0
ʦ	ʧ	0.723
ʦ	tʰ	0.203
ʦ_j	θ	1.0
ˈa	ˈeɪ̯	0.204
ˈa	ˈæ	0.164
ˈa	ˈɔː	0.128
ˈa	ˈaɪ̯	0.097
ˈa	ˈɒ	0.081
ˈaː	ˈe	0.324
ˈaː	ˈæ	0.158
ˈaː	ˈeɪ̯	0.158
ˈaː	ˈɑː	0.104
ˈaː	ˈiː	0.104
ˈeː	ˈɪ	0.431
ˈeː	ˈiː	0.326
ˈeː	ˈaɪ̯	0.173
ˈi	ˈɪ	0.433
ˈi	ˈiː	0.23
ˈi	ˈaɪ̯	0.224
ˈi	ˈɒ	0.067
ˈiə̯	ˈiː	0.378
ˈiə̯	ˈəʊ̯	0.208
ˈiə̯	ˈɪ	0.168
ˈiə̯	ˈe	0.064
ˈiə̯	ˈɜː	0.064
ˈiː	ˈaɪ̯	0.701
ˈiː	ˈiː	0.107
ˈiː	ˈəʊ̯	0.107
ˈiː	ˈuː	0.081
ˈoə̯	ˈɔː	0.487
ˈoə̯	ˈəʊ̯	0.187
ˈoə̯	ˈe	0.123
ˈoə̯	ˈɐ	0.123
ˈoə̯	ˈuː	0.066
ˈoː	ˈaʊ̯	0.362
ˈoː	ˈuː	0.274
ˈu	ˈɐ	0.644
ˈu	ˈaʊ̯	0.239
ˈuə̯	ˈɐ	0.42
ˈuə̯	ˈʊ	0.304
ˈuə̯	ˈuː	0.265
ˈuə̯_r	ə	1.0
ˈuː	ˈaʊ̯	0.466
ˈuː	ˈaɪ̯	0.367
ˈuː	ˈeɪ̯	0.075
ˈuː	ˈɐ	0.058
ˈy	ˈɐ	1.0
ˈyː	ˈaʊ̯	0.281
ˈyː	ˈɐ	0.281
ˈø	ˈɪ	0.425
ˈø	ˈɔː	0.239
ˈø	ˈiː	0.134
ˈøə̯	ˈe	1.0
ˈɔ	ˈɪ	0.224
ˈɔ	ˈɐ	0.207
ˈɔ	ˈɒ	0.166
ˈɔ	ˈʊ	0.145
ˈɔ	w	0.088
ˈɔu̯	ˈəʊ̯	0.371
ˈɔu̯	ˈɔː	0.089
ˈɔː	ˈæ	0.457
ˈɔː	ˈəʊ̯	0.211
ˈɔː	ˈe	0.125
ˈɔː	ˈɒ	0.085
ˈɛ	ˈɔː	0.403
ˈɛ	j	0.202
ˈɛ	ˈɜː	0.202
ˈɛ	ˈæ	0.088
ˈɛ	ˈe	0.059
ˈɛ_j	ˈiː	1.0
ˈɛ_r	ˈɑː	1.0
ˈɛi̯	ˈeɪ̯	0.52
ˈɛi̯	ˈe	0.168
ˈɛi̯	ˈəʊ̯	0.168
ˈɛi̯	ˈɪ	0.117
ˈɛː	ˈɑː	0.492
ˈɛː	ˈɪ	0.209
ˈɛː	ˈeɪ̯	0.209
ˈɛː	ˈe	0.061
ˈɪ	ˈɪ	0.516
ˈɪ	ˈiː	0.121
ˈɪ	ˈaɪ̯	0.105
ˈɪ	ˈe	0.095
ˈɪ	ˈəʊ̯	0.047
ˈɪə̯	ˈe	0.275
ˈɪə̯	ˈiː	0.269
ˈɪə̯	ˈaɪ̯	0.123
ˈɪə̯	ˈɪ	0.087
ˈɪə̯	ˈəʊ̯	0.06
ˈɵ	ˈiː	0.239
χ	-	0.653
χ	f	0.199
χ	ʤ	0.121
χ_t	t	1.0
