North Frisian	Proto-Germanic	probability
b	b	0.932
b	-	0.048
b	p	0.039
d	d	0.328
d	θ	0.239
d	ð_ɑ̃	0.137
d	ð	0.095
d	t	0.095
dʲ	ð	0.386
dʲ	ð_ɑ	0.386
dʲ	θ	0.222
f	ɸ	0.827
f	xʷ	0.083
f	β_ɑ̃	0.073
f	β	0.033
h	x	1.0
i	iː	0.218
i	ɑ_ɣ	0.163
i	ɣ_ɑ	0.144
i	i	0.142
i	ɑ	0.105
j	-	0.2
j	ɣ	0.189
j	ɣ_i	0.161
j	l	0.14
j	ɑ	0.08
j_ə	ɣ	1.0
j_ˈa	ˈe	1.0
k	k	0.872
k	x	0.076
k	kː	0.05
l	l	0.608
l	l_ɑ	0.132
l	lː	0.067
l	l_u	0.062
l	w	0.052
l_v	l	1.0
l_ə	l	1.0
lʲ	l	0.761
lʲ	l_d	0.173
m	m	0.568
m	m_ɑ	0.265
m	m_i	0.108
m	mː	0.052
n	n	0.753
n	n_d	0.1
n	nː	0.08
n	n_i	0.043
n	-	0.029
nʲ	d	0.402
nʲ	n	0.315
nʲ	n_ɑ̃	0.274
p	p	0.354
p	p_ɑ̃	0.228
p	p_ɑ	0.118
p	ɸ	0.112
p	x	0.106
r	r	0.902
r	-	0.091
s	s	0.848
s	s_ɑ̃	0.062
s	θ	0.047
t	t	0.742
t	θ	0.112
t	t_ɑ̃	0.071
t	s	0.03
t	ð	0.03
tʲ	t	0.409
tʲ	θ	0.279
tʲ	t_ɑ	0.214
v	w	0.622
v	β	0.165
v	xʷ	0.082
v	ɸ	0.057
v	β_ɑ	0.038
w	w	0.392
w	j	0.392
w	ɔːː	0.126
x	x	0.896
x	ɣ	0.093
z	s	0.562
z	t	0.308
z	θ	0.09
ŋ	ŋ	0.782
ŋ	ɑ̃	0.109
ŋ	-	0.059
ŋ	n	0.049
ə	ɑ_n	0.264
ə	j_ɑ	0.181
ə	-	0.148
ə	ɔːː	0.095
ə	ɔː	0.056
ə_n	i	1.0
ɡ	ɣ	1.0
ʃ	s_k	0.379
ʃ	k_ɑ	0.248
ʃ	k	0.128
ʃ	k_i	0.091
ʃ	s	0.066
ˈa	ˈi	0.262
ˈa	ˈɑ	0.262
ˈa	ˈu	0.144
ˈa	-	0.095
ˈa	ˈɑi̯	0.095
ˈai̯	ˈi	0.561
ˈai̯	ˈiu̯	0.183
ˈai̯	ˈɑi̯	0.112
ˈaː	ˈi	0.74
ˈaː	ˈu	0.136
ˈeː	ˈɑ	0.381
ˈeː	ˈe	0.174
ˈeː	ˈɛː	0.085
ˈeː	ˈi	0.085
ˈeː	ˈeː	0.085
ˈi	ˈi	0.391
ˈi	ˈiː	0.372
ˈi	ˈe	0.122
ˈi	ˈu	0.056
ˈi	ˈɑi̯	0.056
ˈiː	ˈɑi̯	0.189
ˈiː	ˈeu̯	0.182
ˈiː	ˈɑu̯	0.167
ˈiː	ˈɑi̯_w	0.112
ˈiː	ˈi	0.083
ˈuː	ˈɑu̯	0.556
ˈuː	ˈɑ	0.262
ˈuː	w	0.077
ˈuː	ˈuː	0.076
ˈyː	ˈuː	0.425
ˈyː	ˈɑu̯	0.143
ˈyː	ˈu_n	0.098
ˈyː	ˈɑ	0.064
ˈyː	ˈe	0.056
ˈøː	ˈu	0.352
ˈøː	ˈɑu̯	0.176
ˈøː	ˈe	0.176
ˈøː	-	0.081
ˈøː	ˈuː	0.078
ˈœ	ˈɔː	0.3
ˈœ	ˈu	0.256
ˈœ	ˈɑ	0.183
ˈœ	ˈɑ_n	0.144
ˈœ	ˈi	0.082
ˈɒ	ˈɑ	0.588
ˈɒ	ˈeu̯	0.2
ˈɒ	ˈɑi̯	0.2
ˈɒː	ˈɑ	0.887
ˈɒː	ˈɑi̯	0.067
ˈɒː	ˈɛː	0.047
ˈɔ	ˈu	1.0
ˈɔi̯	jː	1.0
ˈɔu̯	ˈu_β	0.223
ˈɔu̯	ˈu	0.194
ˈɔu̯	ˈɑi̯	0.147
ˈɔu̯	ˈɑ	0.147
ˈɔu̯	ˈɛː	0.107
ˈɔː	ˈu	0.387
ˈɔː	ˈɑ	0.31
ˈɔː	ˈe	0.217
ˈɔː	ˈɑu̯	0.064
ˈɛ	ˈɔː	0.45
ˈɛ	ˈe	0.297
ˈɛ	ˈi	0.183
ˈɛi̯	ˈɑ	0.293
ˈɛi̯	ˈe	0.276
ˈɛi̯	ˈɛː	0.235
ˈɛi̯	ˈɔ	0.083
ˈɛi̯	ˈɔː	0.066
ˈɛː	ˈe	0.38
ˈɛː	ˈɑ	0.323
ˈɛː	ˈɑi̯	0.162
ˈɛː	ˈɛː	0.114
ˈʊ	ˈu	0.434
ˈʊ	ˈɑ	0.178
ˈʊ	ˈe	0.097
ˈʊ	ˈi	0.097
ˈʊ	w_ˈu	0.082
ˈʏ	ˈu	0.496
ˈʏ	ˈiu̯	0.32
ˈʏ	ˈe	0.143
