Northern Low Saxon	Danish	probability
b	b̥	0.833
b	-	0.081
b	p	0.045
b	b̥_j	0.036
d	ð̞ˠ	0.421
d	-	0.19
d	d̥	0.185
d	ʦʰ	0.131
d	t	0.038
f	f	0.692
f	-	0.179
f	w	0.052
f	mˀ	0.041
f	v	0.036
h	h	1.0
i	w	1.0
j	ˈeˀ	1.0
k	-	0.306
k	k	0.306
kʰ	kʰ	1.0
l	l	0.677
l	lˀ	0.207
l	-	0.076
l	nˀ	0.032
l_ɡ	l	1.0
m	m	0.641
m	w	0.123
m	-	0.101
m	mˀ	0.069
m	wˀ	0.038
n	n	0.55
n	-	0.202
n	ə	0.177
n	nˀ	0.047
n	ŋ	0.025
n_d	nˀ	1.0
p	b̥	0.463
r	ʁ	0.94
r	-	0.06
s	s	0.95
s	-	0.05
t	t	0.63
t	-	0.26
t	j	0.084
tʰ	ʦʰ	1.0
v	ʋ	0.543
v	-	0.41
v	v	0.044
x	j	0.715
x	-	0.114
x_d	t	1.0
z	s	1.0
ç	-	0.546
ç	s	0.094
ç	ŋ	0.094
ç	ɡ̊	0.094
ç	t	0.094
ŋ	ŋˀ	0.43
ŋ	ŋ	0.228
ŋ	-	0.179
ŋ	ə	0.072
ŋ	jˀ	0.053
ɐ	ɐ	0.603
ɐ	-	0.235
ɐ	ə	0.06
ɐ	ɐˀ	0.048
ɐ	lˀ	0.041
ɐ_d	ɐˀ	1.0
ə	ˈeˀ	0.463
ɡ	ɡ̊	0.515
ɡ	k	0.241
ɡ	-	0.104
ɡ	j	0.102
ɡ_l	l	1.0
ɪ	i	0.561
ɪ	e	0.322
ɪ	ə	0.057
ʃ	s	0.481
ʃ	k	0.453
ʃ	f	0.059
ʒ	-	1.0
ˈa	ˈa	0.358
ˈa	ˈɑ	0.216
ˈa	ˈɛ	0.139
ˈa	ˈeː	0.064
ˈa	ˈæˀ	0.051
ˈaɪ̯	ˈeˀ	0.316
ˈaɪ̯	ˈyː	0.129
ˈaɪ̯	ˈyˀ	0.115
ˈaɪ̯	ˈoˀ	0.112
ˈaɪ̯	ˈiː	0.074
ˈaʊ̯	ˈoˀ	0.235
ˈaʊ̯	ˈo	0.161
ˈaʊ̯	ˈœˀ	0.152
ˈaʊ̯	ˈʌ	0.122
ˈaʊ̯	ˈøː	0.085
ˈaː	ˈɑˀ	0.226
ˈaː	ˈa	0.149
ˈaː	ˈi	0.149
ˈaː	ˈɛ	0.128
ˈeɪ̯	ˈyː	0.163
ˈeɪ̯	ˈɑ	0.163
ˈeː	ˈœː	0.151
ˈeː	ˈɛ	0.151
ˈeː	ˈiˀ	0.147
ˈeː	ˈɛː	0.097
ˈeː	ˈuˀ	0.097
ˈiː	ˈiˀ	0.447
ˈiː	ˈiː	0.182
ˈiː	ˈɑ	0.089
ˈiː	ˈɛ	0.069
ˈiː	ˈi	0.065
ˈoː	ˈɔˀ	0.245
ˈoː	ˈa	0.119
ˈoː	ˈɒˀ	0.119
ˈoː	ˈɑː	0.104
ˈoː	ˈɔː	0.069
ˈuː	ˈuˀ	0.608
ˈuː	ˈɔ	0.139
ˈuː	ˈuː	0.095
ˈuː	ˈu	0.095
ˈuː	ˈoˀ	0.03
ˈyː	ˈuˀ	0.178
ˈyː	ˈi	0.178
ˈyː	ˈy	0.156
ˈyː	ˈyˀ	0.058
ˈø	ˈœ	0.574
ˈø	ˈɛ	0.266
ˈøː	ˈoˀ	0.278
ˈøː	ˈœ	0.17
ˈøː	ˈoː	0.148
ˈøː	ˈɛː	0.086
ˈøː	ˈyˀ	0.086
ˈœ	ˈʌ	0.463
ˈœː	ˈu	0.306
ˈœː	ˈɛ	0.306
ˈɔ	ˈœ	0.359
ˈɔ	ˈɛ	0.312
ˈɔ	ˈɔˀ	0.179
ˈɔ	ˈu	0.115
ˈɔʏ̯	ˈœˀ	0.416
ˈɔʏ̯	ˈøː	0.284
ˈɔʏ̯	ˈœ	0.215
ˈɔʏ̯	ˈʌ	0.046
ˈɔː	ˈo	0.463
ˈɛ	ˈɛˀ	0.149
ˈɛ	ˈa	0.149
ˈɛ	ˈe	0.149
ˈɛ	ˈɑˀ	0.099
ˈɛ	ˈɛː	0.096
ˈɛɪ̯	ˈeˀ	0.351
ˈɛɪ̯	ˈæ	0.163
ˈɪ	ˈe	0.352
ˈɪ	ˈiˀ	0.127
ˈɪ	ˈɛ	0.094
ˈɪ	ˈeˀ	0.094
ˈɪ	ˈe_s	0.059
ˈʊ	ˈu	0.623
ˈʊ	ˈɔ	0.298
ˈʊ	ˈʌ	0.048
ˈʏ	ˈœ	0.47
ˈʏ	ˈʌ	0.157
ˈʏ	ˈɑ	0.157
ˈʏ	ˈy	0.104
ˈʏ	ˈø	0.069
