Danish	North Frisian	probability
ˈeˀ	ˈɛi̯	0.064
ˈeː	ˈɒː	0.374
ˈeː	ˈiː	0.185
ˈi	ˈiː	0.425
ˈi	ˈœ	0.241
ˈi	ˈeː	0.137
ˈiˀ	ˈi	0.585
ˈiˀ	ˈiː	0.207
ˈiˀ	ˈa	0.18
ˈiˀ_ð̞ˠ	ˈi	1.0
ˈiː	ˈi	0.291
ˈiː	ˈeː	0.156
ˈiː	ˈɔu̯	0.156
ˈiː	ˈaː	0.112
ˈiː	ˈiː	0.108
ˈo	ˈɔ	0.4
ˈo	ˈuː	0.273
ˈo	ˈœ	0.123
ˈo	ˈɔu̯	0.123
ˈoˀ	ˈœ	0.552
ˈoˀ	ˈøː	0.14
ˈoˀ	ˈyː	0.105
ˈoˀ	ˈɔu̯	0.102
ˈoˀ	ˈa	0.052
ˈoː	ˈɔː	0.644
ˈoː	ˈɔu̯	0.241
ˈu	ˈʊ	0.343
ˈu	ˈyː	0.276
ˈu	ˈœ	0.158
ˈu	ˈɔː	0.136
ˈuˀ	ˈyː	0.675
ˈuˀ	ˈøː	0.23
ˈuˀ	ˈuː	0.072
ˈuː	ˈøː	0.66
ˈuː	ˈiː	0.161
ˈy	ˈʏ	0.594
ˈy	w	0.183
ˈy	ˈʊ	0.112
ˈyˀ	ˈiː	0.512
ˈyˀ	ˈɔː	0.15
ˈyˀ	ˈai̯	0.098
ˈyˀ	ˈøː	0.098
ˈyː	ˈiː	0.922
ˈæ	ˈeː	0.494
ˈæˀ	ˈɛi̯	0.244
ˈø	ˈeː	0.574
ˈø	ˈʊ	0.284
ˈøː	ˈuː	0.53
ˈøː	ˈyː	0.265
ˈøː	ˈiː	0.163
ˈœ	ˈʊ	0.327
ˈœ	ˈʏ	0.194
ˈœ	ˈɛ	0.128
ˈœ	ˈɔ	0.096
ˈœ	ˈa	0.087
ˈœ	ˈiː	0.087
ˈœˀ	ˈyː	0.386
ˈœˀ	ˈuː	0.279
ˈœˀ	ˈɛ	0.102
ˈœˀ	ˈɛi̯	0.102
ˈœˀ	ˈɔː	0.099
ˈɑ	ˈʊ	0.238
ˈɑ	-	0.136
ˈɑ	ˈi	0.136
ˈɑ	ˈeː	0.099
ˈɑ	ˈɒ	0.099
ˈɑ	ˈɛː	0.096
ˈɑ	ˈœ	0.074
ˈɑ	ˈyː	0.07
ˈɑˀ	ˈeː	0.297
ˈɑˀ	ˈɛi̯	0.297
ˈɑˀ	ˈa	0.183
ˈɑˀ	ˈʊ	0.112
ˈɑː	ˈɒː	0.244
ˈɒ	ˈɔu̯	0.494
ˈɒˀ	ˈɛi̯	0.574
ˈɒˀ	ˈɛː	0.284
ˈɒː	ˈɔ	0.574
ˈɒː	ˈɛi̯	0.284
ˈɔ	ˈyː	0.415
ˈɔ	ˈʊ	0.357
ˈɔˀ	ˈyː	0.185
ˈɔˀ	ˈeː	0.179
ˈɔˀ	ˈuː	0.179
ˈɔˀ	ˈɔ	0.127
ˈɔˀ	ˈɒː	0.122
ˈɔˀ	ˈɛi̯	0.09
ˈɔː	ˈɔu̯	0.326
ˈɔː	ˈuː	0.161
ˈɛ	ˈa	0.235
ˈɛ	ˈeː	0.135
ˈɛ	ˈɒ	0.135
ˈɛ	ˈɔː	0.135
ˈɛ	ˈuː	0.077
ˈɛ	ˈɛ	0.077
ˈɛ	ˈɒː	0.065
ˈɛ	ˈi	0.064
ˈɛ	ˈiː	0.062
ˈɛˀ	ˈiː	0.407
ˈɛˀ	ˈɛː	0.268
ˈɛˀ	ˈeː	0.102
ˈɛˀ	ˈɒ	0.102
ˈɛː	ˈɔː	0.361
ˈɛː	ˈɛː	0.361
ˈɛː	ˈeː	0.205
ˈʌ	ˈœ	0.549
ˈʌ	ˈuː	0.152
ˈʌ	ˈyː	0.144
ˈʌ	ˈi	0.061
ˈʌˀ	ˈuː	0.374
ˈʌˀ	ˈiː	0.185
